"Libellé";"Emploi salarié en fin de trimestre - Ensemble des salariés du secteur privé - France métropolitaine";"Codes"
"idBank";"010600318";""
"Dernière mise à jour";"19/12/2024 12:00";""
"Période";"";""
"2024-T3";"20697568";"P"
"2024-T2";"20670073";"P"
"2024-T1";"20702515";"P"
"2023-T4";"20648842";"P"
"2023-T3";"20651888";"P"
"2023-T2";"20614542";"P"
"2023-T1";"20561765";"P"
"2022-T4";"20545692";"A"
"2022-T3";"20455857";"A"
"2022-T2";"20383094";"A"
"2022-T1";"20342853";"A"
"2021-T4";"20246060";"A"
"2021-T3";"20088849";"A"
"2021-T2";"19886248";"A"
"2021-T1";"19635595";"A"
"2020-T4";"19471105";"A"
"2020-T3";"19459611";"A"
"2020-T2";"19032045";"A"
"2020-T1";"19103709";"A"
"2019-T4";"19572467";"A"
"2019-T3";"19476977";"A"
"2019-T2";"19419575";"A"
"2019-T1";"19391220";"A"
"2018-T4";"19242574";"A"
"2018-T3";"19181767";"A"
"2018-T2";"19150899";"A"
"2018-T1";"19121544";"A"
"2017-T4";"19067218";"A"
"2017-T3";"18958758";"A"
"2017-T2";"18932653";"A"
"2017-T1";"18828189";"A"
"2016-T4";"18726452";"A"
"2016-T3";"18719705";"A"
"2016-T2";"18650018";"A"
"2016-T1";"18601578";"A"
"2015-T4";"18561606";"A"
"2015-T3";"18530720";"A"
"2015-T2";"18504751";"A"
"2015-T1";"18464745";"A"
"2014-T4";"18475983";"A"
"2014-T3";"18472805";"A"
"2014-T2";"18505949";"A"
"2014-T1";"18493393";"A"
"2013-T4";"18508561";"A"
"2013-T3";"18488662";"A"
"2013-T2";"18448906";"A"
"2013-T1";"18503971";"A"
"2012-T4";"18510250";"A"
"2012-T3";"18536778";"A"
"2012-T2";"18573813";"A"
"2012-T1";"18594091";"A"
"2011-T4";"18600934";"A"
"2011-T3";"18597199";"A"
"2011-T2";"18591449";"A"
"2011-T1";"18564387";"A"
"2010-T4";"18521834";"A"
