"Libellé";"PIB en valeur (prix courants) - France métropolitaine";"Codes"
"idBank";"010751746";""
"Dernière mise à jour";"16/04/2024 17:44";""
"Période";"";""
"2022";"2588372";"P"
"2021";"2454491";"SD"
"2020";"2272730";"A"
"2019";"2391472";"A"
"2018";"2318256";"A"
"2017";"2253004";"A"
"2016";"2190789";"A"
"2015";"2156015";"A"
"2014";"2108550";"A"
"2013";"2077071";"A"
"2012";"2049081";"A"
"2011";"2019501";"A"
"2010";"1957884";"A"
"2009";"1899963";"A"
"2008";"1954718";"A"
"2007";"1904414";"A"
"2006";"1812790";"A"
"2005";"1733981";"A"
"2004";"1673982";"A"
"2003";"1602247";"A"
"2002";"1560844";"A"
"2001";"1512627";"A"
"2000";"1454904";"A"
"1999";"1377888";"A"
"1998";"1329992";"A"
"1997";"1271945";"A"
"1996";"1232455";"A"
"1995";"1199238";"A"
"1994";"1161859";"A"
"1993";"1124552";"A"
"1992";"1114165";"A"
"1991";"1075394";"A"
"1990";"1037597";"A"
