annee;nombre;taux_pour_mille;insee_pop
2002;1516.6223257619931;2.1471138024247622;632520.6889988999
2003;1536.9340710541655;2.169986815401856;634464.5967546757
2004;1557.2458163463452;2.1928598283789498;636408.5045104511
2005;1577.5575616385177;2.2157328413560435;638352.412266227
2006;1597.8693069306973;2.23860585433313;640296.3200220023
2007;1618.1810522228698;2.261478867310224;642240.2277777782
2008;1638.4927975150495;2.2843518802873177;644184.1355335535
2009;1658.8045428072219;2.3072248932644044;646128.0432893289
2010;1679.1162880994016;2.330097906241498;648071.9510451048
2011;1699.428033391574;2.352970919218592;650015.8588008801
2012;1719.7397786837537;2.3758439321956857;651959.766556656
2013;1740.051523975926;2.3987169451727723;653903.6743124314
2014;1760.3632692681058;2.421589958149866;655847.5820682072
2015;1780.6750145602782;2.44446297112696;657791.4898239826
2016;1859.9539895165988;2.566726824868957;659585.9009900991
2017;1869.5008736167733;2.576942676761794;661196.603960396
2018;1849.5084449621434;2.525213867501456;663257.9801980198
2019;1895.0046592894585;2.5507340708212;665791.2970297029
2020;1659.1322073383808;2.2437054734420503;667511.603960396
2021;1796.2976121141526;2.4116325736750146;669946.2376237623
2022;1978.2300524170064;2.655132879732091;673436.5445544554
2023;2021.6161910308679;2.748076248165405;673436.5445544554
2024;2010.859638905067;2.7512877091438557;673436.5445544554
